x	Sin(x)	Cos(x)
-2.86485576318348	-0.273218153608466	-0.961952098879555
-2.85856628840152	-0.27926288329283	-0.96021468537769
-2.85227681361956	-0.28529656607405	-0.958439288315309
-2.8459873388376	-0.291318963275547	-0.956625977922438
-2.83969786405564	-0.297329836667172	-0.954774825928854
-2.83340838927368	-0.303328948474627	-0.952885905561247
-2.82711891449172	-0.309316061388869	-0.950959291540325
-2.82082943970975	-0.315290938575503	-0.948995060077859
-2.81453996492779	-0.321253343684144	-0.946993288873663
-2.80825049014583	-0.327203040857772	-0.944954057112528
-2.80196101536387	-0.333139794742058	-0.942877445461084
-2.79567154058191	-0.339063370494675	-0.940763536064611
-2.78938206579995	-0.34497353379459	-0.938612412543789
-2.78309259101798	-0.350870050851331	-0.936424159991392
-2.77680311623602	-0.356752688414232	-0.93419886496892
-2.77051364145406	-0.362621213781667	-0.931936615503174
-2.7642241666721	-0.36847539481025	-0.929637501082777
-2.75793469189014	-0.374314999924019	-0.927301612654632
-2.75164521710818	-0.380139798123597	-0.924929042620325
-2.74535574232622	-0.385949558995329	-0.922519884832469
-2.73906626754425	-0.391744052720397	-0.920074234590991
-2.73277679276229	-0.397523050083913	-0.917592188639367
-2.72648731798033	-0.403286322483981	-0.915073845160786
-2.72019784319837	-0.409033641940746	-0.912519303774276
-2.71390836841641	-0.414764781105407	-0.909928665530757
-2.70761889363445	-0.420479513269214	-0.907302032909044
-2.70132941885248	-0.426177612372436	-0.904639509811798
-2.69503994407052	-0.431858853013297	-0.90194120156141
-2.68875046928856	-0.437523010456905	-0.899207214895837
-2.6824609945066	-0.443169860644126	-0.896437657964382
-2.67617151972464	-0.448799180200462	-0.893632640323412
-2.66988204494268	-0.454410746444878	-0.890792272932028
-2.66359257016072	-0.460004337398611	-0.887916668147673
-2.65730309537875	-0.465579731793957	-0.885005939721687
-2.65101362059679	-0.471136709083018	-0.882060202794811
-2.64472414581483	-0.476675049446427	-0.879079573892629
-2.63843467103287	-0.482194533802048	-0.876064170920958
-2.63214519625091	-0.487694943813634	-0.873014113161188
-2.62585572146895	-0.493176061899474	-0.86992952126556
-2.61956624668698	-0.498637671240992	-0.866810517252393
-2.61327677190502	-0.504079555791324	-0.863657224501261
-2.60698729712306	-0.509501500283873	-0.860469767748108
-2.6006978223411	-0.514903290240813	-0.857248273080317
-2.59440834755914	-0.520284711981579	-0.853992867931721
-2.58811887277718	-0.525645552631321	-0.850703681077561
-2.58182939799522	-0.53098560012932	-0.847380842629396
-2.57553992321325	-0.536304643237382	-0.84402448402995
-2.56925044843129	-0.54160247154819	-0.840634738047918
-2.56296097364933	-0.546878875493627	-0.837211738772711
-2.55667149886737	-0.55213364635307	-0.833755621609152
-2.55038202408541	-0.557366576261642	-0.830266523272121
-2.54409254930345	-0.562577458218437	-0.826744581781147
-2.53780307452148	-0.567766086094708	-0.823189936454945
-2.53151359973952	-0.57293225464202	-0.819602727905912
-2.52522412495756	-0.578075759500371	-0.815983098034554
-2.5189346501756	-0.583196397206273	-0.812331190023886
